common_words
pen
pencil
pencil-case
ruler
eraser
crayon
book
bag
sharpener
school
head
face
nose
mouth
eye
ear
arm
finger
leg
foot
body
red
yellow
green
blue
purple
white
black
orange
pink
brown
cat
dog
monkey
panda
rabbit
duck
pig
bird
bear
elephant
mouse
squirrel
cake
bread
hot dog
hamburger
chicken
French
fries
Coke
juice
milk
water
tea
coffee
one
two
three
four
five
six
seven
eight
nine
ten
doll
boat
ball
kite
balloon
car
plane
boy
girl
teacher
student
this
my
friend
I’m
I am
nice
good morning
good afternoon
meet
goodbye
too
father
dad
mother
mom
man
woman
grandmother
grandma
grandfather
grandpa
sister
brother
let’s
let us
great
really
and
how
eleven
twelve
thirteen
fourteen
fifteen
sixteen
seventeen
eighteen
nineteen
twenty
how many
can
look at
peach
pear
orange
watermelon
apple
banana
strawberry
grape
like
some
thanks
bus
bike
taxi
jeep
desk
chair
walkman
lamp
your
zoo
small
big
long
short
tall
giraffe
deer
Window
board
light
picture
door
floor
classroom
computer
teacher’desk
wall
fan
bag
pencil
pen
book
ruler
pencil-case
teacher
student
boy
girl
friend
home
room
school
classroom
window
desk
door
chair
bed
rice
beef
bread
milk
egg
water
chicken
fish
sister
brother
father
mother
driver
doctor
farmer
nurse
computer
board
fan
light
this
is
my
that
your
teacher’s desk
picture
wall
floor
yes
it
one
two
three
four
five
six
seven
eight
nine
ten
what
time
it is
…o’clock
math
Chinese
English
P.E.
music
for
class
jacket
shirt
skirt
dress
T-shirt
red
blue
yellow
green
white
no
not
colour
warm
cold
cool
today
jeans
pants
socks
shoes
let us
play
football
snowy
sunny
how  much
big
small
long
short
apple
banana
pear
orange
watermelon
are
they
horse
aren’t
are not
cat
rabbit
pig
duck
dog
eleven
twelve
thirteen
fifteen
twenty
how many
there
Young
Funny
tall
strong
kind
old
short
thin
Mr
like
strict
smart
active
quiet
very
but
Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday
day
have
on
do homework
watch TV
read books
eggplant
fish
green beans
tofu
potato
tomato
for
lunch
we
tasty
sweet
sour
